machine_name,system,graph_name,world_size,num_epoch,fanouts,batch_size,pool_size,batch_layer,replace,epoch (s),sampling (s),feature (s),forward (s),backward (s),allocated (MB),reserved (MB),test accuracy %
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,1,1,True,11.924,11.924,0.0,0.0,0.0,4192.0,4728.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,16,1,True,13.188,13.188,0.0,0.0,0.0,1589.0,2504.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,64,1,True,12.541,12.541,0.0,0.0,0.0,4196.0,5910.0,0
Elba,dgl,ogbn-products,1,1,"[20, 20, 20]",256,1,1,True,22.71,22.71,0.0,0.0,0.0,23.0,238.0,0
Elba,base,ogbn-products,1,1,"[20, 20, 20]",256,1,0,True,8.729,8.729,0.0,0.0,0.0,483.0,812.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,1,1,True,11.593,11.593,0.0,0.0,0.0,4190.0,4638.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,4,1,True,10.067,10.067,0.0,0.0,0.0,1596.0,2150.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,16,1,True,8.332,8.332,0.0,0.0,0.0,1595.0,2442.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,64,1,True,6.494,6.494,0.0,0.0,0.0,4200.0,5656.0,0
Elba,base,ogbn-products,1,1,"[20, 20, 20]",256,1,0,True,8.595,8.595,0.0,0.0,0.0,484.0,820.0,0
Elba,dgl,ogbn-products,1,1,"[20, 20, 20]",256,1,1,True,22.603,22.603,0.0,0.0,0.0,23.0,238.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,16,1,True,8.664,8.664,0.0,0.0,0.0,1590.0,2500.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,1,1,True,12.106,12.106,0.0,0.0,0.0,4184.0,4636.0,0
Elba,batch,ogbn-products,1,1,"[20, 20, 20]",256,4,1,True,10.328,10.328,0.0,0.0,0.0,1597.0,2276.0,0
